gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSMUSG00000000001	267.8048	-0.008235377	0.06946539	0.7898801	1
ENSMUSG00000000028	9.291975	-0.007526768	0.0782419	0.4543288	1
ENSMUSG00000000031	0.1428392	-0.0001911184	0.08395239	0.9064306	NA
ENSMUSG00000000037	14.61409	0.01012353	0.07753287	0.4647375	1
ENSMUSG00000000049	0.4140643	4.519647e-06	0.08236341	0.997973	NA
ENSMUSG00000000056	362.494	0.02232104	0.06835924	0.4921241	1
ENSMUSG00000000058	93.69539	0.0175912	0.07521803	0.4202563	1
ENSMUSG00000000078	188.1523	-0.003792699	0.07445999	0.8682172	1
ENSMUSG00000000085	414.9223	0.02853778	0.07451902	0.2435273	0.9822009
ENSMUSG00000000088	414.5225	-0.03062937	0.07150545	0.298852	0.9977111
ENSMUSG00000000093	8.239759	0.00331196	0.07842433	0.6943124	1
ENSMUSG00000000094	5.875187	0.005408379	0.07969045	0.2311762	0.9779492
ENSMUSG00000000120	31.83338	0.009362469	0.07808681	0.4016367	1
ENSMUSG00000000125	20.44297	0.006062008	0.07687135	0.7070415	1
ENSMUSG00000000126	4.504257	0.00248459	0.07875023	0.6817534	1
ENSMUSG00000000127	241.9255	0.03667641	0.0717998	0.2156068	0.9721299
ENSMUSG00000000131	770.8468	-0.0251426	0.06661318	0.460554	1
ENSMUSG00000000134	173.613	0.01118756	0.07083282	0.7025927	1
ENSMUSG00000000142	172.6102	-0.0546442	0.07221839	0.07792317	0.8847709
ENSMUSG00000000148	159.3423	-0.03065843	0.0718954	0.2898371	0.9949043
ENSMUSG00000000149	707.5922	-0.03989494	0.07035582	0.2064739	0.9694954
ENSMUSG00000000154	2.778065	0.002052803	0.07876237	0.7283754	1
ENSMUSG00000000159	2.111991	-0.006491836	0.07982723	0.1772217	0.959932
ENSMUSG00000000167	11.88362	0.01247493	0.07815549	0.2722858	0.9918821
ENSMUSG00000000168	589.7003	0.04468444	0.06675254	0.2009309	0.9670767
ENSMUSG00000000171	375.0444	-0.0003016249	0.06877687	0.9923795	1
ENSMUSG00000000182	2.184175	-0.007917713	0.07993733	0.1316065	0.934962
ENSMUSG00000000184	286.1603	0.05826005	0.08044549	0.004820036	0.4902669
ENSMUSG00000000194	334.2364	-0.006402793	0.06536467	0.8528588	1
ENSMUSG00000000197	1507.58	0.02745147	0.06058322	0.4598404	1
ENSMUSG00000000202	77.5305	-0.01341725	0.07570711	0.5073608	1
ENSMUSG00000000204	0.1724106	0.0007189103	0.08519437	0.6625111	NA
ENSMUSG00000000214	73.73232	0.003862918	0.07763856	0.7640513	1
ENSMUSG00000000215	0.1383222	0.0005982039	0.08481774	0.7148999	NA
ENSMUSG00000000216	2.07307	-0.001636181	0.07913422	0.6835575	1
ENSMUSG00000000223	600.9173	0.06469164	0.07238008	0.04323019	0.7931011
ENSMUSG00000000244	0.8193645	-0.0005978415	0.07989024	0.819759	NA
ENSMUSG00000000247	88.61606	-0.0318391	0.07453435	0.1998318	0.9670767
ENSMUSG00000000248	0.08201558	7.982438e-05	0.08387286	0.9608199	NA
ENSMUSG00000000253	268.2376	0.0306946	0.07351872	0.2469564	0.9822009
ENSMUSG00000000263	4.595804	-0.008744642	0.07914308	0.1750487	0.958885
ENSMUSG00000000266	411.5839	0.04071236	0.07018179	0.2008285	0.9670767
ENSMUSG00000000275	57.94741	-0.01368754	0.07703889	0.3972612	1
ENSMUSG00000000276	745.2165	-0.002294728	0.0653938	0.9469319	1
ENSMUSG00000000278	67.97002	-0.04461494	0.072583	0.1293372	0.9344994
ENSMUSG00000000282	117.1425	-0.003897507	0.07670744	0.8146474	1
ENSMUSG00000000290	34.7281	-0.0245487	0.07699429	0.1713977	0.958885
ENSMUSG00000000295	78.2224	-0.009016746	0.07233859	0.7386364	1
ENSMUSG00000000296	102.3235	0.004753909	0.07407609	0.8410754	1
ENSMUSG00000000301	6.105078	4.473038e-05	0.0784742	0.9954941	1
ENSMUSG00000000303	2.996308	-0.004171301	0.07901051	0.4224099	1
ENSMUSG00000000305	377.8547	-0.02864326	0.06990182	0.35947	1
ENSMUSG00000000308	844.2043	0.003634902	0.07194524	0.8949892	1
ENSMUSG00000000317	6.959519	0.01408457	0.07835452	0.1921589	0.9644382
ENSMUSG00000000318	1.271105	-0.003782134	0.08042391	0.275435	0.9928322
ENSMUSG00000000320	4.174267	0.0073316	0.07912686	0.2207571	0.97473
ENSMUSG00000000325	170.0075	-0.01918391	0.07172099	0.4995194	1
ENSMUSG00000000326	400.261	0.0002627973	0.07274295	0.991999	1
ENSMUSG00000000339	191.9529	-0.02251462	0.07319033	0.3923998	1
ENSMUSG00000000340	141.5352	-0.01084277	0.07283328	0.679657	1
ENSMUSG00000000346	424.3294	0.01806642	0.0679218	0.5810433	1
ENSMUSG00000000355	145.4279	0.0102996	0.07423229	0.6620173	1
ENSMUSG00000000359	2.437459	-0.003736329	0.07923734	0.4030975	1
ENSMUSG00000000365	11.6372	0.008205618	0.07813316	0.4453969	1
ENSMUSG00000000374	884.3098	0.005452655	0.06057903	0.8823694	1
ENSMUSG00000000378	280.5152	-0.0005894424	0.07400149	0.9802543	1
ENSMUSG00000000384	116.5717	-0.02838111	0.07347713	0.2814414	0.9928699
ENSMUSG00000000386	1.237058	0.0008552295	0.07919546	0.8152189	1
ENSMUSG00000000392	3.100754	-0.0004238323	0.07856583	0.9533777	1
ENSMUSG00000000399	477.7524	0.0170037	0.07001534	0.5775487	1
ENSMUSG00000000402	8.90726	-0.01679869	0.07931626	0.0588353	0.8418327
ENSMUSG00000000409	11.09883	0.007324726	0.07810185	0.4978564	1
ENSMUSG00000000411	1.156449	0.003061921	0.08079958	0.3166555	NA
ENSMUSG00000000416	1335.412	0.08271126	0.07999604	0.002536842	0.4145169
ENSMUSG00000000420	438.6766	-0.03076395	0.06774296	0.3575025	1
ENSMUSG00000000439	226.3257	-0.01008108	0.06997229	0.7398172	1
ENSMUSG00000000440	6.147243	0.002308033	0.07825628	0.8071619	1
ENSMUSG00000000441	616.1813	0.02142773	0.06062021	0.5626523	1
ENSMUSG00000000486	0.491566	-0.0003430989	0.08036312	0.8814703	NA
ENSMUSG00000000489	76.48518	-0.005689685	0.07270055	0.8289595	1
ENSMUSG00000000530	70.56556	0.009361223	0.07730297	0.5247428	1
ENSMUSG00000000531	178.9188	-0.01228032	0.07630899	0.5051683	1
ENSMUSG00000000532	695.7233	-0.03674454	0.06060997	0.3253302	1
ENSMUSG00000000538	1323.278	0.02579368	0.06515638	0.4621888	1
ENSMUSG00000000544	0.1141571	0.00035151	0.08418443	0.8291504	NA
ENSMUSG00000000552	71.74054	0.001007315	0.07761898	0.9376455	1
ENSMUSG00000000555	45.25023	0.01282489	0.07819662	0.253838	0.9856654
ENSMUSG00000000560	499.2059	-0.006718562	0.07206483	0.8063146	1
ENSMUSG00000000561	371.4252	-0.064678	0.06674452	0.07411545	0.8801016
ENSMUSG00000000562	5.270922	0.00298991	0.07866946	0.6548817	1
ENSMUSG00000000563	1088.436	0.009192808	0.06866877	0.7723847	1
ENSMUSG00000000567	103.6872	0.0450619	0.07790711	0.0270891	0.750613
ENSMUSG00000000568	912.8109	0.04092586	0.07174221	0.1738374	0.958885
ENSMUSG00000000579	56.71212	-0.03726849	0.07729651	0.05953623	0.8445165
ENSMUSG00000000581	246.9587	0.02666169	0.07137483	0.3638095	1
ENSMUSG00000000594	259.3565	-0.06029596	0.0689739	0.08054024	0.8847709
ENSMUSG00000000600	650.2789	0.08346467	0.07187022	0.01578237	0.6614145
ENSMUSG00000000605	1216.821	-0.008909113	0.06645862	0.7918327	1
ENSMUSG00000000627	159.6878	-0.02070272	0.07494287	0.3628306	1
ENSMUSG00000000628	22.40141	0.002435785	0.07723429	0.8674114	1
ENSMUSG00000000631	1051.04	-0.02556199	0.06922146	0.4215003	1
ENSMUSG00000000632	1850.284	0.02844281	0.07535197	0.2109307	0.9710333
ENSMUSG00000000673	0.8086037	0.0001192934	0.0800341	0.961361	NA
ENSMUSG00000000682	5.48916	0.003777752	0.07853111	0.6260215	1
ENSMUSG00000000686	9.266667	0.01083769	0.07859155	0.2232646	0.97473
ENSMUSG00000000690	0.04352699	0	0.08385612	1	NA
ENSMUSG00000000693	23.94963	-0.0178625	0.07746514	0.2406729	0.9822009
ENSMUSG00000000706	0.7553404	-0.00302077	0.08383332	0.239337	NA
ENSMUSG00000000708	321.723	0.02542026	0.0648979	0.4705102	1
ENSMUSG00000000711	858.3013	0.001072426	0.06709115	0.9742118	1
ENSMUSG00000000724	0.2199919	0	0.08385612	1	NA
ENSMUSG00000000730	0.1126217	0.0007189104	0.08519437	0.662511	NA
ENSMUSG00000000731	0.476026	0.001623732	0.08143025	0.4888244	NA
ENSMUSG00000000732	21.139	-0.007768922	0.07765684	0.5519462	1
ENSMUSG00000000738	232.5144	-0.01976325	0.06926695	0.530123	1
ENSMUSG00000000739	0.4925295	0.000105733	0.08203988	0.9539078	NA
ENSMUSG00000000740	1611.348	-0.002071228	0.06532029	0.9521624	1
ENSMUSG00000000743	463.6661	-0.02742258	0.06540901	0.4330901	1
ENSMUSG00000000751	316.8993	-0.03261738	0.06806839	0.3267467	1
ENSMUSG00000000753	27.42276	0.01236072	0.07685617	0.4582416	1
ENSMUSG00000000759	371.6443	-0.05860067	0.06812597	0.09371866	0.903631
ENSMUSG00000000766	157.8748	0.0162855	0.07596159	0.4108099	1
ENSMUSG00000000776	76.67228	-0.008294454	0.07302312	0.7481924	1
ENSMUSG00000000782	33.11929	-0.001537962	0.07661631	0.9274498	1
ENSMUSG00000000787	1971.95	-0.02386245	0.0715263	0.4100534	1
ENSMUSG00000000791	3.774551	-0.002292445	0.07872805	0.710742	1
ENSMUSG00000000792	32.95798	-0.004336206	0.07779262	0.7211875	1
ENSMUSG00000000794	578.3801	0.0243363	0.06967033	0.4363033	1
ENSMUSG00000000804	1185.288	0.07477722	0.06034109	0.05314476	0.8239076
ENSMUSG00000000805	31.62593	-0.04844037	0.08307841	0.002776019	0.4145169
ENSMUSG00000000811	18.77784	-0.01382799	0.07726013	0.3686163	1
ENSMUSG00000000817	1.02357	-0.004129986	0.08441856	0.1586776	NA
ENSMUSG00000000823	588.6124	0.002495025	0.06330146	0.9443127	1
ENSMUSG00000000826	2252.699	-0.02693547	0.06370675	0.453321	1
ENSMUSG00000000827	284.5112	0.02135644	0.06828237	0.5114401	1
ENSMUSG00000000838	422.0995	0.01052951	0.06949667	0.7334472	1
ENSMUSG00000000861	552.4619	0.02877178	0.07590079	0.1814743	0.961765
ENSMUSG00000000869	0.3283589	0	0.08385612	1	NA
ENSMUSG00000000876	58.1629	-0.009895863	0.07479646	0.6570915	1
ENSMUSG00000000881	1030.784	-0.03800876	0.065321	0.2839182	0.9929349
ENSMUSG00000000884	20.6826	0.001233186	0.07697586	0.9369448	1
ENSMUSG00000000889	0.4814281	-0.0004063893	0.08232184	0.8235024	NA
ENSMUSG00000000901	10.12438	-0.001284955	0.07778589	0.9152066	1
ENSMUSG00000000902	352.073	-0.01479663	0.07034756	0.6223586	1
ENSMUSG00000000903	0.3889245	0.0009962795	0.08638231	0.551427	NA
ENSMUSG00000000915	551.3582	-0.03892036	0.06883432	0.237968	0.9822009
ENSMUSG00000000916	62.12056	0.0009396947	0.07388394	0.968845	1
ENSMUSG00000000934	67.5231	-0.0309557	0.0762884	0.1395701	0.9396249
ENSMUSG00000000938	0.06349146	-0.0001911184	0.08395239	0.9064306	NA
ENSMUSG00000000948	587.7657	0.04716442	0.07612623	0.05184118	0.8192872
ENSMUSG00000000957	39.74649	-0.01496955	0.07668641	0.3925266	1
ENSMUSG00000000958	6.232674	-0.008309519	0.07826154	0.4092601	1
ENSMUSG00000000959	210.4066	-0.01889836	0.0678762	0.5645789	1
ENSMUSG00000000976	181.7082	-0.01390179	0.07007092	0.6469011	1
ENSMUSG00000000982	0.650534	-0.0003168203	0.08085429	0.8807128	NA
ENSMUSG00000000983	3.062946	-0.009467785	0.07955294	0.1216706	0.9285787
ENSMUSG00000001014	1.668109	0.0007367884	0.07924256	0.8341558	1
ENSMUSG00000001016	481.447	-0.03247341	0.06764334	0.3338707	1
ENSMUSG00000001017	969.5202	0.006729625	0.06463204	0.8475159	1
ENSMUSG00000001018	269.4545	0.005811706	0.06751296	0.8595178	1
ENSMUSG00000001020	10.00045	0.01446194	0.07794567	0.2547872	0.9864019
ENSMUSG00000001021	6.655315	0.004075924	0.07829909	0.6614888	1
ENSMUSG00000001023	0.0392667	0.00035151	0.08418443	0.8291504	NA
ENSMUSG00000001025	42.16771	-0.005546087	0.07621819	0.7617767	1
ENSMUSG00000001027	0.05444447	0	0.08385612	1	NA
ENSMUSG00000001029	8.383657	0.003767221	0.07846365	0.6462572	1
ENSMUSG00000001034	89.72214	-0.002200363	0.07548809	0.9137602	1
ENSMUSG00000001036	910.0112	0.03754743	0.06185903	0.3103266	0.9991441
ENSMUSG00000001039	51.72253	0.01654566	0.07574846	0.4173234	1
ENSMUSG00000001052	334.384	0.05043957	0.07489868	0.06062748	0.846171
ENSMUSG00000001053	55.3683	0.007051226	0.07627448	0.6982112	1
ENSMUSG00000001054	224.908	0.02117766	0.07202911	0.4507091	1
ENSMUSG00000001056	124.348	0.05936305	0.07364701	0.04726186	0.8042952
ENSMUSG00000001062	204.9906	-0.03149763	0.0720496	0.2744918	0.9923916
ENSMUSG00000001065	178.7747	0.001854761	0.07025643	0.9505139	1
ENSMUSG00000001082	72.04746	-0.001747849	0.07589574	0.9273613	1
