gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSMUSG00000000001	267.8048	-0.04384108	0.10157191	0.478527	0.839787
ENSMUSG00000000028	9.291975	0.01304923	0.13172633	0.6309111	0.902451
ENSMUSG00000000031	0.1428392	0.005596782	0.22419222	0.610584	NA
ENSMUSG00000000037	14.61409	-0.004786219	0.12803696	0.8861029	0.9741474
ENSMUSG00000000049	0.4140643	-0.001352907	0.20548033	0.9016262	NA
ENSMUSG00000000056	362.494	0.03088683	0.09712715	0.6219725	0.8995653
ENSMUSG00000000058	93.69539	0.1220149	0.13143582	0.02473312	0.3404891
ENSMUSG00000000078	188.1523	0.02580658	0.1155253	0.6260929	0.9008299
ENSMUSG00000000085	414.9223	0.1087125	0.11970607	0.05911982	0.4627388
ENSMUSG00000000088	414.5225	0.007983441	0.10340514	0.895361	0.9770942
ENSMUSG00000000093	8.239759	0.02430791	0.1386745	0.3062716	0.7459667
ENSMUSG00000000094	5.875187	0.1367403	0.61560461	0.008656739	0.2229682
ENSMUSG00000000120	31.83338	-0.01254143	0.13042885	0.6692649	0.9155711
ENSMUSG00000000125	20.44297	0.04161367	0.12719645	0.2981786	0.7412041
ENSMUSG00000000126	4.504257	0.01387089	0.1433881	0.445445	0.8241778
ENSMUSG00000000127	241.9255	0.09764829	0.10792598	0.11521	0.5645297
ENSMUSG00000000131	770.8468	-0.03445265	0.09195792	0.5851021	0.8867026
ENSMUSG00000000134	173.613	-0.03213996	0.10539838	0.5932989	0.8902058
ENSMUSG00000000142	172.6102	-0.1041094	0.10717714	0.09635571	0.5376904
ENSMUSG00000000148	159.3423	0.03015664	0.10583438	0.6148463	0.8979686
ENSMUSG00000000149	707.5922	-0.09342385	0.10193018	0.1404378	0.5908152
ENSMUSG00000000154	2.778065	0.02356555	0.15764863	0.2170545	0.6703621
ENSMUSG00000000159	2.111991	-0.005468283	0.14389077	0.7244172	0.9337414
ENSMUSG00000000167	11.88362	0.02425301	0.13204618	0.4092047	0.8035269
ENSMUSG00000000168	589.7003	0.08927294	0.09228195	0.1624652	0.618818
ENSMUSG00000000171	375.0444	0.02840743	0.09886508	0.6483204	0.9086269
ENSMUSG00000000182	2.184175	-0.01316898	0.14849026	0.4302544	0.8134892
ENSMUSG00000000184	286.1603	0.1177005	0.13529547	0.02382717	0.3352444
ENSMUSG00000000194	334.2364	0.009504836	0.09110648	0.8800205	0.9729059
ENSMUSG00000000197	1507.58	-0.02671582	0.07855141	0.6614345	0.9132515
ENSMUSG00000000202	77.5305	-0.05626898	0.12231293	0.2443028	0.6982229
ENSMUSG00000000204	0.1724106	0.006263473	0.22689982	0.5714135	NA
ENSMUSG00000000214	73.73232	-0.01164263	0.12824271	0.7279764	0.9340936
ENSMUSG00000000215	0.1383222	0.006263473	0.22689982	0.5714135	NA
ENSMUSG00000000216	2.07307	-0.01897889	0.1944962	0.2255458	0.6795207
ENSMUSG00000000223	600.9173	0.06987906	0.10109764	0.265098	0.7179035
ENSMUSG00000000244	0.8193645	0.007867321	0.18083507	0.5326571	NA
ENSMUSG00000000247	88.61606	0.1264604	0.12310049	0.03045713	0.3732863
ENSMUSG00000000248	0.08201558	0.002130945	0.21590586	0.8417778	NA
ENSMUSG00000000253	268.2376	-0.05222746	0.11111485	0.3660332	0.7830156
ENSMUSG00000000263	4.595804	-0.04435895	0.23412192	0.05675895	0.4575547
ENSMUSG00000000266	411.5839	0.0820579	0.10120931	0.1933707	0.652399
ENSMUSG00000000275	57.94741	0.03149561	0.12527309	0.443182	0.8227347
ENSMUSG00000000276	745.2165	0.02256551	0.08999341	0.7201869	0.9316248
ENSMUSG00000000278	67.97002	-0.2182117	0.1455135	0.001297328	0.09276798
ENSMUSG00000000282	117.1425	0.03677333	0.12486411	0.385841	0.7948057
ENSMUSG00000000290	34.7281	-0.04144593	0.12472388	0.3382906	0.7646447
