gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSMUSG00000000001	267.8048	-0.0145296	0.1016662	0.8225324	0.9555837
ENSMUSG00000000028	9.291975	-0.04500367	0.1470264	0.1181292	0.522747
ENSMUSG00000000031	0.1428392	0.0002741532	0.15102619	0.9585069	NA
ENSMUSG00000000037	14.61409	0.04664824	0.13434122	0.2274843	0.6546182
ENSMUSG00000000049	0.4140643	0.001240809	0.14998838	0.8337031	NA
ENSMUSG00000000056	362.494	0.01149979	0.09774025	0.8605464	0.9656929
ENSMUSG00000000058	93.69539	0.0949135	0.12500203	0.08770225	0.475131
ENSMUSG00000000078	188.1523	0.05579225	0.11850592	0.3229601	0.735057
ENSMUSG00000000085	414.9223	0.120679	0.12210736	0.04572869	0.3816794
ENSMUSG00000000088	414.5225	-0.02359328	0.10512294	0.7114958	0.9198569
ENSMUSG00000000093	8.239759	0.00160179	0.13691674	0.9479399	NA
ENSMUSG00000000094	5.875187	0.0629812	0.28503478	0.003527088	NA
ENSMUSG00000000120	31.83338	-0.002710527	0.13320209	0.9320711	0.9849522
ENSMUSG00000000125	20.44297	-0.01408837	0.12806237	0.7365503	0.9275124
ENSMUSG00000000126	4.504257	0.01149598	0.14129336	0.5425348	NA
ENSMUSG00000000127	241.9255	0.03491892	0.10564948	0.5836123	0.8679274
ENSMUSG00000000131	770.8468	0.07487728	0.09312656	0.2561808	0.6787515
ENSMUSG00000000134	173.613	-0.01386959	0.10579871	0.8270411	0.9568174
ENSMUSG00000000142	172.6102	-0.1283365	0.10762153	0.05098556	0.4011077
ENSMUSG00000000148	159.3423	0.01143648	0.10657049	0.85629	0.9652409
ENSMUSG00000000149	707.5922	-0.01824227	0.10027929	0.7792866	0.9413428
ENSMUSG00000000154	2.778065	0.004518384	0.1406993	0.8009903	NA
ENSMUSG00000000159	2.111991	-0.0070959	0.14231891	0.6550816	NA
ENSMUSG00000000167	11.88362	0.001838683	0.13350169	0.9529863	0.9891356
ENSMUSG00000000168	589.7003	0.07683895	0.09163228	0.2432935	0.6681481
ENSMUSG00000000171	375.0444	0.03581985	0.09982528	0.583147	0.8679262
ENSMUSG00000000182	2.184175	0.003900386	0.14051073	0.8298968	NA
ENSMUSG00000000184	286.1603	0.07484198	0.12569203	0.1515107	0.5749064
ENSMUSG00000000194	334.2364	0.02327763	0.0912668	0.7226648	0.9231568
ENSMUSG00000000197	1507.58	0.01469635	0.07891895	0.8152063	0.953429
ENSMUSG00000000202	77.5305	-0.08648781	0.12805877	0.09836811	0.4957379
ENSMUSG00000000204	0.1724106	0	0.15101291	1	NA
ENSMUSG00000000214	73.73232	0.3600389	0.49506287	0.0002393011	0.04946221
ENSMUSG00000000215	0.1383222	0	0.15101291	1	NA
ENSMUSG00000000216	2.07307	-0.009654199	0.14557538	0.445996	NA
ENSMUSG00000000223	600.9173	0.1376184	0.10488946	0.03870269	0.3615966
ENSMUSG00000000244	0.8193645	0.003224021	0.14654891	0.7231564	NA
ENSMUSG00000000247	88.61606	-0.0190182	0.11482999	0.743855	0.9299042
ENSMUSG00000000248	0.08201558	0.0002741532	0.15102619	0.9585069	NA
ENSMUSG00000000253	268.2376	-0.004118875	0.1112985	0.945837	0.9875613
ENSMUSG00000000263	4.595804	0.004117558	0.13913058	0.8417301	NA
ENSMUSG00000000266	411.5839	0.1627564	0.10605756	0.01580586	0.2568186
ENSMUSG00000000275	57.94741	-0.01652787	0.12725093	0.7030251	0.9162178
ENSMUSG00000000276	745.2165	0.04031447	0.09087985	0.5388777	0.8506772
ENSMUSG00000000278	67.97002	-0.1488839	0.11611133	0.02218769	0.2948671
ENSMUSG00000000282	117.1425	0.03811325	0.12757336	0.3969926	0.7787061
ENSMUSG00000000290	34.7281	-0.07596223	0.13227295	0.1094577	0.5111233
ENSMUSG00000000295	78.2224	-0.02679131	0.11113496	0.6601416	0.9002316
ENSMUSG00000000296	102.3235	-0.05759577	0.11789138	0.3128526	0.7261776
ENSMUSG00000000301	6.105078	0.003030343	0.13747181	0.897649	NA
ENSMUSG00000000303	2.996308	-0.003584182	0.14139398	0.828948	NA
ENSMUSG00000000305	377.8547	-0.06969054	0.10190865	0.2856561	0.7048607
ENSMUSG00000000308	844.2043	-0.09279028	0.11102929	0.1413705	0.5629854
ENSMUSG00000000317	6.959519	0.005510946	0.13443968	0.8519624	NA
ENSMUSG00000000318	1.271105	-0.007264313	0.14563657	0.529023	NA
ENSMUSG00000000320	4.174267	0.007051707	0.14094774	0.6959104	NA
ENSMUSG00000000325	170.0075	-0.1233738	0.11279175	0.05445743	0.4107444
ENSMUSG00000000326	400.261	-0.03762497	0.11168613	0.5359571	0.8498404
ENSMUSG00000000339	191.9529	-0.04761061	0.11228972	0.4326156	0.8005475
ENSMUSG00000000340	141.5352	-0.09215381	0.11502602	0.1319988	0.5465094
ENSMUSG00000000346	424.3294	0.03163944	0.09689729	0.6296275	0.8887507
ENSMUSG00000000355	145.4279	0.0430841	0.11695796	0.4505613	0.8097101
ENSMUSG00000000359	2.437459	0.0001009906	0.14231109	0.9945327	NA
ENSMUSG00000000365	11.6372	-0.03343806	0.13967951	0.2537106	0.6769257
ENSMUSG00000000374	884.3098	0.02683612	0.08007422	0.6715008	0.9053509
ENSMUSG00000000378	280.5152	-0.03225937	0.11601064	0.5749147	0.8641724
ENSMUSG00000000384	116.5717	-0.0344807	0.11226124	0.5678143	0.8614754
ENSMUSG00000000386	1.237058	0.002216661	0.1442829	0.8502829	NA
ENSMUSG00000000392	3.100754	0.03209474	0.14572581	0.1770624	NA
ENSMUSG00000000399	477.7524	-0.03897707	0.10267464	0.5468143	0.8536455
ENSMUSG00000000402	8.90726	-0.02185191	0.1381933	0.414852	NA
ENSMUSG00000000409	11.09883	-0.006175807	0.13411126	0.838055	0.9608285
ENSMUSG00000000411	1.156449	-0.0005174779	0.145904	0.9559927	NA
ENSMUSG00000000416	1335.412	0.2289941	0.15686893	0.001212565	0.1033775
ENSMUSG00000000420	438.6766	-0.118862	0.09756834	0.0741639	0.455192
ENSMUSG00000000439	226.3257	0.02426129	0.10305946	0.706646	0.9171589
ENSMUSG00000000440	6.147243	0.004470007	0.13577745	0.8679074	NA
ENSMUSG00000000441	616.1813	0.06593478	0.08016642	0.2979973	0.7158264
ENSMUSG00000000486	0.491566	0.00253094	0.14768809	0.7464251	NA
ENSMUSG00000000489	76.48518	-0.01735092	0.11223011	0.7728215	0.940122
ENSMUSG00000000530	70.56556	-0.02521825	0.12970822	0.5309051	0.8474664
ENSMUSG00000000531	178.9188	-0.008075502	0.12380203	0.8670741	0.9676092
ENSMUSG00000000532	695.7233	-0.01246405	0.07878194	0.8427566	0.9612258
ENSMUSG00000000538	1323.278	0.1038419	0.08999736	0.1148562	0.5194075
ENSMUSG00000000544	0.1141571	0.002058627	0.15178164	0.6970748	NA
ENSMUSG00000000552	71.74054	0.06065829	0.14077707	0.1106226	0.5136615
ENSMUSG00000000555	45.25023	0.02070939	0.13417556	0.5221441	0.8431721
ENSMUSG00000000560	499.2059	0.06389754	0.10988399	0.306459	0.7227535
ENSMUSG00000000561	371.4252	-0.008209716	0.08823956	0.8998519	0.9772034
ENSMUSG00000000562	5.270922	-0.006047315	0.13970612	0.7612914	NA
ENSMUSG00000000563	1088.436	-0.0007348601	0.09875472	0.9910236	0.9982634
ENSMUSG00000000567	103.6872	0.1291419	0.14290937	0.01940123	0.278933
ENSMUSG00000000568	912.8109	0.1657467	0.11207125	0.01337375	0.2398788
ENSMUSG00000000579	56.71212	-0.05088498	0.12427679	0.3131207	0.7262876
ENSMUSG00000000581	246.9587	0.04376905	0.10592035	0.4921776	0.8316779
ENSMUSG00000000594	259.3565	-0.08076344	0.09519486	0.2214285	0.6474064
ENSMUSG00000000600	650.2789	0.2045841	0.10467692	0.003038443	0.1421953
ENSMUSG00000000605	1216.821	-0.01357	0.09301685	0.8362662	0.9601801
ENSMUSG00000000627	159.6878	0.001755313	0.11750843	0.9748401	0.9951592
ENSMUSG00000000628	22.40141	-0.04594907	0.13350156	0.2426015	0.667724
ENSMUSG00000000631	1051.04	-0.07675013	0.10006887	0.2426446	0.667724
ENSMUSG00000000632	1850.284	0.07848295	0.1204159	0.1664391	0.5922875
ENSMUSG00000000673	0.8086037	-0.008213489	0.15172112	0.3058594	NA
ENSMUSG00000000682	5.48916	0.001598659	0.13792988	0.9436588	NA
ENSMUSG00000000686	9.266667	0.02271326	0.13884067	0.3871526	0.7712888
ENSMUSG00000000690	0.04352699	0.002025565	0.15175778	0.7016437	NA
ENSMUSG00000000693	23.94963	-0.0860848	0.14798639	0.04541033	0.3801662
ENSMUSG00000000706	0.7553404	0.0003745598	0.14645892	0.9657451	NA
ENSMUSG00000000708	321.723	0.02246239	0.08945928	0.7313021	0.9257356
ENSMUSG00000000711	858.3013	-0.1044713	0.09658269	0.1153086	0.5196176
ENSMUSG00000000724	0.2199919	0	0.15101291	1	NA
ENSMUSG00000000730	0.1126217	0	0.15101291	1	NA
