gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSMUSG00000000001	267.8048	0.0008200949	0.02799284	0.9090925	0.995414
ENSMUSG00000000028	9.291975	-0.003818085	0.03185684	0.06697305	0.995414
ENSMUSG00000000031	0.1428392	-0.0001693444	0.03319308	0.6294627	0.995414
ENSMUSG00000000037	14.61409	0.004103886	0.03031834	0.1541393	0.995414
ENSMUSG00000000049	0.4140643	0.0001276121	0.03142105	0.7621202	0.995414
ENSMUSG00000000056	362.494	0.002642075	0.02776261	0.7363916	0.995414
ENSMUSG00000000058	93.69539	0.0006104445	0.02887558	0.8822785	0.995414
ENSMUSG00000000078	188.1523	0.00134301	0.02870648	0.7800104	0.995414
ENSMUSG00000000085	414.9223	0.003843981	0.0288102	0.4282087	0.995414
ENSMUSG00000000088	414.5225	-0.007427774	0.02836193	0.2689839	0.995414
ENSMUSG00000000093	8.239759	-0.0006013729	0.02979374	0.7236654	0.995414
ENSMUSG00000000094	5.875187	0.0005148843	0.03034515	0.5612438	0.995414
ENSMUSG00000000120	31.83338	0.001998972	0.02981885	0.3772039	0.995414
ENSMUSG00000000125	20.44297	-0.001826699	0.0292319	0.5691412	0.995414
ENSMUSG00000000126	4.504257	0.0002014315	0.03000056	0.8728588	0.995414
ENSMUSG00000000127	241.9255	0.001115178	0.02828915	0.8590242	0.995414
ENSMUSG00000000131	770.8468	0.005076945	0.02780887	0.5183204	0.995414
ENSMUSG00000000134	173.613	0.003106936	0.02822476	0.6368265	0.995414
ENSMUSG00000000142	172.6102	-0.009875706	0.02870686	0.1313334	0.995414
ENSMUSG00000000148	159.3423	-0.005981233	0.0284392	0.3410118	0.995414
ENSMUSG00000000149	707.5922	-0.0006972845	0.02807924	0.9198337	0.995414
ENSMUSG00000000154	2.778065	-0.0006735684	0.03013505	0.5737472	0.995414
ENSMUSG00000000159	2.111991	-0.001041518	0.03048932	0.3165526	0.995414
ENSMUSG00000000167	11.88362	0.0009187204	0.02954521	0.6831381	0.995414
ENSMUSG00000000168	589.7003	0.006262098	0.02762427	0.4548813	0.995414
ENSMUSG00000000171	375.0444	0.0005627061	0.02787747	0.9401977	0.995414
ENSMUSG00000000182	2.184175	-0.000232909	0.03011964	0.8281496	0.995414
ENSMUSG00000000184	286.1603	0.004416247	0.0294912	0.2348653	0.995414
ENSMUSG00000000194	334.2364	0.0001178016	0.02739134	0.9891735	0.9976855
ENSMUSG00000000197	1507.58	0.01080958	0.02664293	0.3031634	0.995414
ENSMUSG00000000202	77.5305	-0.003395655	0.02907513	0.4023841	0.995414
ENSMUSG00000000204	0.1724106	1.505755e-05	0.03246822	0.9651488	0.995414
ENSMUSG00000000214	73.73232	0.008473725	0.04859773	0.002487917	0.8768585
ENSMUSG00000000215	0.1383222	1.505755e-05	0.03246822	0.9651488	0.995414
ENSMUSG00000000216	2.07307	-0.0001550838	0.03030126	0.8491281	0.995414
ENSMUSG00000000223	600.9173	0.01537004	0.02942097	0.03542316	0.995414
ENSMUSG00000000244	0.8193645	-0.0002369769	0.03062203	0.6972607	0.995414
ENSMUSG00000000247	88.61606	-0.01216721	0.03420851	0.01646494	0.995414
ENSMUSG00000000248	0.08201558	-2.559034e-05	0.03247926	0.9408192	0.995414
ENSMUSG00000000253	268.2376	0.007689037	0.02894577	0.168116	0.995414
ENSMUSG00000000263	4.595804	0.0003757604	0.03005374	0.75582	0.995414
ENSMUSG00000000266	411.5839	0.01147428	0.02862991	0.1038867	0.995414
ENSMUSG00000000275	57.94741	-0.00484058	0.03003111	0.1543844	0.995414
ENSMUSG00000000276	745.2165	0.001455216	0.02737042	0.8677292	0.995414
ENSMUSG00000000278	67.97002	-0.002889023	0.02871939	0.5593697	0.995414
ENSMUSG00000000282	117.1425	-0.0005200135	0.02909676	0.8760564	0.995414
ENSMUSG00000000290	34.7281	-0.005926194	0.03017552	0.1151266	0.995414
ENSMUSG00000000295	78.2224	-0.001653907	0.02839905	0.7803437	0.995414
ENSMUSG00000000296	102.3235	-0.0004104931	0.02867489	0.9329636	0.995414
ENSMUSG00000000301	6.105078	0.0004080636	0.02979952	0.803838	0.995414
ENSMUSG00000000303	2.996308	9.729158e-05	0.03016035	0.9218817	0.995414
ENSMUSG00000000305	377.8547	-0.009511413	0.02819776	0.2013861	0.995414
ENSMUSG00000000308	844.2043	-0.003043244	0.02845188	0.6031988	0.995414
ENSMUSG00000000317	6.959519	0.003575972	0.03160225	0.07788429	0.995414
ENSMUSG00000000318	1.271105	-0.0005599215	0.0306086	0.4489998	0.995414
ENSMUSG00000000320	4.174267	0.001230095	0.03039664	0.3123668	0.995414
ENSMUSG00000000325	170.0075	-0.005739146	0.02856951	0.3301378	0.995414
ENSMUSG00000000326	400.261	0.001947406	0.02850353	0.7274258	0.995414
ENSMUSG00000000339	191.9529	-0.01114526	0.02975882	0.05702269	0.995414
ENSMUSG00000000340	141.5352	-0.003912859	0.02859732	0.4766013	0.995414
ENSMUSG00000000346	424.3294	0.002915614	0.02770532	0.715571	0.995414
ENSMUSG00000000355	145.4279	0.0009136378	0.02865189	0.8545875	0.995414
ENSMUSG00000000359	2.437459	-0.0005582698	0.03028881	0.5609662	0.995414
ENSMUSG00000000365	11.6372	-0.002052408	0.03018545	0.2805994	0.995414
ENSMUSG00000000374	884.3098	-0.0008653521	0.02650375	0.9331791	0.995414
ENSMUSG00000000378	280.5152	-0.004228331	0.02874482	0.4086789	0.995414
