gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSMUSG00000000001	267.8048	0.001248646	0.02895883	0.8696337	0.99672703
ENSMUSG00000000028	9.291975	-0.004704842	0.03358031	0.04164174	0.99672703
ENSMUSG00000000031	0.1428392	-0.0001567303	0.03355792	0.6651344	0.99672703
ENSMUSG00000000037	14.61409	0.004614575	0.03148651	0.1381425	0.99672703
ENSMUSG00000000049	0.4140643	0.0001113025	0.03236599	0.791527	0.99672703
ENSMUSG00000000056	362.494	0.002302303	0.02870286	0.7821116	0.99672703
ENSMUSG00000000058	93.69539	0.0008049	0.0298793	0.8561804	0.99672703
ENSMUSG00000000078	188.1523	0.001400892	0.02971352	0.7831989	0.99672703
ENSMUSG00000000085	414.9223	0.004219072	0.02984942	0.4084336	0.99672703
ENSMUSG00000000088	414.5225	-0.007595	0.02932397	0.2818495	0.99672703
ENSMUSG00000000093	8.239759	-0.0007760342	0.03084175	0.6745355	0.99672703
ENSMUSG00000000094	5.875187	0.0008111376	0.03148843	0.3791238	0.99672703
ENSMUSG00000000120	31.83338	0.001920029	0.03082325	0.4178659	0.99672703
ENSMUSG00000000125	20.44297	-0.002638243	0.03033892	0.4512552	0.99672703
ENSMUSG00000000126	4.504257	0.0002324935	0.03104324	0.8596962	0.99672703
ENSMUSG00000000127	241.9255	0.0008857641	0.02916659	0.8989274	0.99672703
ENSMUSG00000000131	770.8468	0.006117076	0.0285683	0.4861574	0.99672703
ENSMUSG00000000134	173.613	0.003197999	0.02920857	0.644146	0.99672703
ENSMUSG00000000142	172.6102	-0.009632504	0.02952914	0.1684883	0.99672703
ENSMUSG00000000148	159.3423	-0.005976445	0.02941118	0.365181	0.99672703
ENSMUSG00000000149	707.5922	-0.0002505492	0.02890365	0.9742338	0.99672703
ENSMUSG00000000154	2.778065	-0.0007152403	0.03112618	0.5849149	0.99672703
ENSMUSG00000000159	2.111991	-0.001107386	0.03146091	0.3128635	0.99672703
ENSMUSG00000000167	11.88362	0.0005267028	0.03052352	0.8307405	0.99672703
ENSMUSG00000000168	589.7003	0.006499216	0.02847125	0.4712476	0.99672703
ENSMUSG00000000171	375.0444	0.0005779127	0.02888321	0.9410608	0.99672703
ENSMUSG00000000182	2.184175	-0.0002896869	0.03110875	0.8090816	0.99672703
ENSMUSG00000000184	286.1603	0.006117625	0.0306182	0.1675249	0.99672703
ENSMUSG00000000194	334.2364	0.0003371375	0.02835968	0.9705536	0.99672703
ENSMUSG00000000197	1507.58	0.01110673	0.0274904	0.3134028	0.99672703
ENSMUSG00000000202	77.5305	-0.003410002	0.03010566	0.42328	0.99672703
ENSMUSG00000000204	0.1724106	3.057574e-05	0.03306252	0.9321807	0.99672703
ENSMUSG00000000214	73.73232	0.008538163	0.04334911	0.004520513	0.99672703
ENSMUSG00000000215	0.1383222	6.563658e-06	0.03305822	0.9853932	0.99725819
ENSMUSG00000000216	2.07307	6.411999e-05	0.03129853	0.9394134	0.99672703
ENSMUSG00000000223	600.9173	0.01606353	0.03035458	0.0377588	0.99672703
ENSMUSG00000000244	0.8193645	-0.0002434829	0.03156379	0.70405	0.99672703
ENSMUSG00000000247	88.61606	-0.01351829	0.03592018	0.01480791	0.99672703
ENSMUSG00000000248	0.08201558	-2.25618e-05	0.03308758	0.9496908	0.99672703
ENSMUSG00000000253	268.2376	0.007686608	0.02993537	0.1869167	0.99672703
ENSMUSG00000000263	4.595804	0.0009471743	0.03112539	0.50452	0.99672703
ENSMUSG00000000266	411.5839	0.01166438	0.02957254	0.1133586	0.99672703
ENSMUSG00000000275	57.94741	-0.005032374	0.03108962	0.1596272	0.99672703
ENSMUSG00000000276	745.2165	0.001562434	0.02831551	0.8657045	0.99672703
ENSMUSG00000000278	67.97002	-0.001695605	0.02962169	0.7554969	0.99672703
ENSMUSG00000000282	117.1425	-0.0005627549	0.03015592	0.8712959	0.99672703
ENSMUSG00000000290	34.7281	-0.006130967	0.03109114	0.1296573	0.99672703
ENSMUSG00000000295	78.2224	-0.001506516	0.02938269	0.8102933	0.99672703
ENSMUSG00000000296	102.3235	-0.0007122357	0.02968858	0.8898817	0.99672703
ENSMUSG00000000301	6.105078	0.0004921712	0.03086598	0.7747576	0.99672703
ENSMUSG00000000303	2.996308	0.0006044318	0.0312345	0.5790014	0.99672703
ENSMUSG00000000305	377.8547	-0.009588996	0.02913562	0.2173739	0.99672703
ENSMUSG00000000308	844.2043	-0.003555037	0.02945463	0.5648678	0.99672703
ENSMUSG00000000317	6.959519	0.003815897	0.0325122	0.07615293	0.99672703
ENSMUSG00000000318	1.271105	-0.0004843439	0.03147054	0.5375006	0.99672703
ENSMUSG00000000320	4.174267	0.001112474	0.03127622	0.3896632	0.99672703
ENSMUSG00000000325	170.0075	-0.005938198	0.02958306	0.3337619	0.99672703
ENSMUSG00000000326	400.261	0.00217394	0.0295274	0.7084027	0.99672703
ENSMUSG00000000339	191.9529	-0.01198067	0.03091436	0.05438791	0.99672703
ENSMUSG00000000340	141.5352	-0.004083894	0.02962015	0.4758118	0.99672703
ENSMUSG00000000346	424.3294	0.002763747	0.0286671	0.7428979	0.99672703
ENSMUSG00000000355	145.4279	0.000862513	0.0296753	0.8682566	0.99672703
ENSMUSG00000000359	2.437459	-0.0005828015	0.03128991	0.5614331	0.99672703
ENSMUSG00000000365	11.6372	-0.00356911	0.03179096	0.132323	0.99672703
ENSMUSG00000000374	884.3098	-0.001072698	0.02747169	0.9211658	0.99672703
ENSMUSG00000000378	280.5152	-0.004586013	0.02975872	0.3977694	0.99672703
ENSMUSG00000000384	116.5717	-0.007255561	0.0296765	0.2415338	0.99672703
ENSMUSG00000000386	1.237058	0.000180217	0.03131189	0.8303273	0.99672703
ENSMUSG00000000392	3.100754	0.0007320554	0.0309899	0.6379959	0.99672703
ENSMUSG00000000399	477.7524	0.0004047689	0.02904659	0.9560228	0.99672703
ENSMUSG00000000402	8.90726	-0.004501004	0.03448807	0.02419711	0.99672703
ENSMUSG00000000409	11.09883	0.002509657	0.03131178	0.2336852	0.99672703
ENSMUSG00000000411	1.156449	-9.660036e-05	0.03142974	0.8902138	0.99672703
ENSMUSG00000000416	1335.412	0.01405447	0.03473882	0.01671715	0.99672703
ENSMUSG00000000420	438.6766	-0.0182124	0.02962538	0.03819573	0.99672703
ENSMUSG00000000439	226.3257	-0.0004032822	0.02905137	0.9560978	0.99672703
ENSMUSG00000000440	6.147243	-0.001574795	0.03095102	0.4330834	0.99672703
ENSMUSG00000000441	616.1813	0.009583895	0.02756616	0.3768014	0.99672703
ENSMUSG00000000486	0.491566	-0.0002115631	0.03173255	0.7065996	0.99672703
ENSMUSG00000000489	76.48518	-0.002728475	0.0294082	0.662755	0.99672703
ENSMUSG00000000530	70.56556	-0.0001708862	0.03026261	0.9563451	0.99672703
ENSMUSG00000000531	178.9188	-0.0008281531	0.02999326	0.837484	0.99672703
ENSMUSG00000000532	695.7233	-0.004283774	0.02733085	0.6992782	0.99672703
ENSMUSG00000000538	1323.278	0.009000974	0.02845951	0.3270222	0.99672703
ENSMUSG00000000544	0.1141571	6.135649e-05	0.03315208	0.8639466	0.99672703
ENSMUSG00000000552	71.74054	0.001496269	0.03057102	0.5686479	0.99672703
ENSMUSG00000000555	45.25023	0.001035574	0.03059629	0.6686123	0.99672703
ENSMUSG00000000560	499.2059	0.0007894064	0.0294043	0.8983601	0.99672703
ENSMUSG00000000561	371.4252	0.003157834	0.02818802	0.7404816	0.99672703
ENSMUSG00000000562	5.270922	-0.0001824092	0.03095664	0.9020706	0.99672703
ENSMUSG00000000563	1088.436	-0.008366837	0.02903051	0.2868294	0.99672703
ENSMUSG00000000567	103.6872	0.008457598	0.03241134	0.05362931	0.99672703
ENSMUSG00000000568	912.8109	0.009014389	0.02966369	0.1732178	0.99672703
ENSMUSG00000000579	56.71212	0.0004921827	0.03001377	0.9005987	0.99672703
ENSMUSG00000000581	246.9587	0.01037389	0.0296222	0.1383447	0.99672703
ENSMUSG00000000594	259.3565	-0.02012043	0.03007804	0.02391591	0.99672703
ENSMUSG00000000600	650.2789	0.02095023	0.03216834	0.01200132	0.99672703
ENSMUSG00000000605	1216.821	-0.003591544	0.02847527	0.6868764	0.99672703
ENSMUSG00000000627	159.6878	-0.003326894	0.0297985	0.5110396	0.99672703
ENSMUSG00000000628	22.40141	-0.002274048	0.03040413	0.4828205	0.99672703
ENSMUSG00000000631	1051.04	-0.01443049	0.02949814	0.07401052	0.99672703
ENSMUSG00000000632	1850.284	0.004290342	0.02990962	0.3877589	0.99672703
ENSMUSG00000000673	0.8086037	-0.0001197782	0.03181509	0.8159403	0.99672703
ENSMUSG00000000682	5.48916	-0.0009377984	0.03095018	0.5831673	0.99672703
ENSMUSG00000000686	9.266667	0.003335306	0.03224866	0.09176091	0.99672703
ENSMUSG00000000690	0.04352699	1.957876e-05	0.03308509	0.9563332	0.99672703
ENSMUSG00000000693	23.94963	-0.002785742	0.03069806	0.3458538	0.99672703
ENSMUSG00000000706	0.7553404	-0.0005559295	0.03230269	0.3422898	0.99672703
ENSMUSG00000000708	321.723	0.01307822	0.02852684	0.1636102	0.99672703
ENSMUSG00000000711	858.3013	-0.0005056877	0.02893451	0.9474354	0.99672703
ENSMUSG00000000724	0.2199919	-6.653026e-05	0.03316421	0.8526607	0.99672703
ENSMUSG00000000730	0.1126217	7.986124e-05	0.03318545	0.8241075	0.99672703
ENSMUSG00000000731	0.476026	0.0001869819	0.03170385	0.740566	0.99672703
ENSMUSG00000000732	21.139	0.0008303802	0.03041463	0.7654692	0.99672703
ENSMUSG00000000738	232.5144	-0.006928536	0.02899098	0.3748986	0.99672703
ENSMUSG00000000739	0.4925295	0.000203035	0.03233945	0.6506806	0.99672703
ENSMUSG00000000740	1611.348	-0.005942812	0.02865574	0.488009	0.99672703
