gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSMUSG00000000001	267.8048	-9.52453e-05	0.00435013	0.5863788	0.9998982
ENSMUSG00000000028	9.291975	2.546891e-05	0.004417387	0.5421581	0.9998982
ENSMUSG00000000031	0.1428392	1.292522e-05	0.011356766	0.7387192	0.9998982
ENSMUSG00000000037	14.61409	-1.682311e-05	0.004366081	0.7822343	0.9998982
ENSMUSG00000000049	0.4140643	-7.606023e-06	0.008252185	0.7817176	0.9998982
ENSMUSG00000000056	362.494	0.0001444635	0.004349339	0.4558891	0.9998982
ENSMUSG00000000058	93.69539	8.245393e-05	0.004359724	0.3881588	0.9998982
ENSMUSG00000000078	188.1523	-5.716086e-05	0.004354316	0.6073226	0.9998982
ENSMUSG00000000085	414.9223	6.862463e-05	0.004354828	0.5355918	0.9998982
ENSMUSG00000000088	414.5225	-6.550623e-05	0.00435101	0.6747274	0.9998982
ENSMUSG00000000093	8.239759	3.690863e-05	0.004506947	0.3398915	0.9998982
ENSMUSG00000000094	5.875187	-1.627572e-06	0.004778115	0.9409363	0.9998982
ENSMUSG00000000120	31.83338	2.426879e-05	0.004385048	0.6230959	0.9998982
ENSMUSG00000000125	20.44297	8.443166e-05	0.00438489	0.2462058	0.9998982
ENSMUSG00000000126	4.504257	1.097215e-05	0.004526835	0.6999157	0.9998982
ENSMUSG00000000127	241.9255	0.0002611271	0.004359515	0.1005927	0.9998982
ENSMUSG00000000131	770.8468	-0.000356332	0.004353331	0.08452309	0.9998982
ENSMUSG00000000134	173.613	1.929815e-05	0.00435079	0.9020415	0.9998982
ENSMUSG00000000142	172.6102	-0.0001668423	0.004353777	0.2629928	0.9998982
ENSMUSG00000000148	159.3423	-7.799305e-05	0.004351876	0.5878947	0.9998982
ENSMUSG00000000149	707.5922	-0.0003269034	0.004359257	0.07001327	0.9998982
ENSMUSG00000000154	2.778065	3.000084e-05	0.004891201	0.2984427	0.9998982
ENSMUSG00000000159	2.111991	-2.148502e-05	0.005017227	0.3920045	0.9998982
ENSMUSG00000000167	11.88362	7.096371e-05	0.004505568	0.1697463	0.9998982
ENSMUSG00000000168	589.7003	0.0002307949	0.004348781	0.2779381	0.9998982
ENSMUSG00000000171	375.0444	-1.505065e-05	0.00434953	0.9341749	0.9998982
ENSMUSG00000000182	2.184175	-6.485141e-05	0.007846611	0.06717616	0.9998982
ENSMUSG00000000184	286.1603	0.0002377239	0.004905251	0.01225333	0.9998982
ENSMUSG00000000194	334.2364	-6.48955e-05	0.004347672	0.7668838	0.9998982
ENSMUSG00000000197	1507.58	2.799065e-05	0.004344474	0.9181481	0.9998982
ENSMUSG00000000202	77.5305	-2.059105e-05	0.004356043	0.818398	0.9998982
ENSMUSG00000000204	0.1724106	2.374603e-05	0.01271197	0.57197	0.9998982
ENSMUSG00000000214	73.73232	-0.0001744885	0.009125283	0.007978232	0.9998982
ENSMUSG00000000215	0.1383222	2.005406e-05	0.012214088	0.623224	0.9998982
ENSMUSG00000000216	2.07307	-1.364876e-05	0.005219573	0.5363524	0.9998982
ENSMUSG00000000223	600.9173	0.0001059843	0.004351354	0.4990965	0.9998982
ENSMUSG00000000244	0.8193645	1.954678e-06	0.005609152	0.9237968	0.9998982
ENSMUSG00000000247	88.61606	7.717765e-05	0.004358749	0.4223212	0.9998982
ENSMUSG00000000248	0.08201558	4.965782e-06	0.010783178	0.8945402	0.9998982
ENSMUSG00000000253	268.2376	4.484638e-05	0.004352884	0.7164874	0.9998982
ENSMUSG00000000263	4.595804	-0.0001577594	0.013957567	0.01279728	0.9998982
ENSMUSG00000000266	411.5839	9.542767e-06	0.004350831	0.9511336	0.9998982
ENSMUSG00000000275	57.94741	1.356056e-05	0.004360271	0.8490576	0.9998982
ENSMUSG00000000276	745.2165	-5.807633e-05	0.004347568	0.7923979	0.9998982
ENSMUSG00000000278	67.97002	-0.0001764981	0.004366457	0.1389742	0.9998982
ENSMUSG00000000282	117.1425	-1.079342e-05	0.004358978	0.8852162	0.9998982
ENSMUSG00000000290	34.7281	-5.340671e-05	0.00436309	0.4913265	0.9998982
ENSMUSG00000000295	78.2224	-3.818085e-05	0.004351794	0.7837836	0.9998982
ENSMUSG00000000296	102.3235	4.383068e-05	0.004353778	0.6976036	0.9998982
ENSMUSG00000000301	6.105078	-8.97084e-06	0.00442092	0.8036194	0.9998982
ENSMUSG00000000303	2.996308	-4.724425e-05	0.006732705	0.120457	0.9998982
ENSMUSG00000000305	377.8547	-2.819533e-05	0.004350176	0.8678442	0.9998982
ENSMUSG00000000308	844.2043	9.892793e-05	0.004352726	0.4733333	0.9998982
ENSMUSG00000000317	6.959519	1.618196e-05	0.004403337	0.6947657	0.9998982
ENSMUSG00000000318	1.271105	-2.898319e-05	0.006866334	0.253037	0.9998982
ENSMUSG00000000320	4.174267	2.915804e-05	0.004867273	0.3104399	0.9998982
ENSMUSG00000000325	170.0075	-6.972948e-06	0.004351958	0.9585365	0.9998982
ENSMUSG00000000326	400.261	-4.379371e-05	0.004352394	0.7366293	0.9998982
ENSMUSG00000000339	191.9529	7.842199e-05	0.004353566	0.5268393	0.9998982
ENSMUSG00000000340	141.5352	6.699299e-06	0.00435248	0.9573416	0.9998982
ENSMUSG00000000346	424.3294	9.846615e-05	0.004348879	0.6188965	0.9998982
ENSMUSG00000000355	145.4279	5.222903e-05	0.00435372	0.6508362	0.9998982
ENSMUSG00000000359	2.437459	-1.325316e-05	0.004853213	0.5733169	0.9998982
ENSMUSG00000000365	11.6372	0.0001255414	0.006477694	0.02061985	0.9998982
ENSMUSG00000000374	884.3098	8.676046e-05	0.004344166	0.7544228	0.9998982
ENSMUSG00000000378	280.5152	9.259642e-05	0.004354957	0.4316975	0.9998982
ENSMUSG00000000384	116.5717	-6.076649e-05	0.004352518	0.6440012	0.9998982
ENSMUSG00000000386	1.237058	2.678035e-06	0.004923218	0.8989358	0.9998982
ENSMUSG00000000392	3.100754	-1.639136e-05	0.004481589	0.612496	0.9998982
ENSMUSG00000000399	477.7524	0.000125289	0.004350763	0.4581208	0.9998982
ENSMUSG00000000402	8.90726	-3.116728e-06	0.004418883	0.9300734	0.9998982
ENSMUSG00000000409	11.09883	2.056142e-07	0.004389558	0.9961385	0.9998982
ENSMUSG00000000411	1.156449	6.019113e-05	0.011697961	0.1081451	0.9998982
ENSMUSG00000000416	1335.412	0.0001265683	0.004361467	0.2431032	0.9998982
ENSMUSG00000000420	438.6766	0.0001023289	0.004349831	0.5719365	0.9998982
ENSMUSG00000000439	226.3257	-7.000357e-05	0.004350379	0.6770158	0.9998982
ENSMUSG00000000440	6.147243	4.543295e-05	0.004517106	0.2735676	0.9998982
ENSMUSG00000000441	616.1813	1.671166e-06	0.004344898	0.9949816	0.9998982
ENSMUSG00000000486	0.491566	5.230522e-06	0.006259655	0.8089393	0.9998982
ENSMUSG00000000489	76.48518	4.994614e-06	0.004351882	0.9705847	0.9998982
